despresate_id,agenda_id
primari:6876,5247
primari:11255,5247
primari:375,5248
primari:6391,5249
primari:8800,5250
primari:6839,5251
primari:5240,5252
primari:4451,5253
primari:4533,5253
primari:4620,5253
primari:4168,5254
primari:4206,5254
primari:4250,5254
primari:4295,5254
primari:5504,5255
primari:6820,5256
primari:9484,5257
primari:7629,209
primari:7726,209
primari:7827,209
primari:7929,209
primari:1390,5258
primari:1485,5258
primari:1581,5258
primari:2984,5259
primari:3916,5260
primari:1559,5261
primari:1659,5261
primari:3811,5262
primari:8128,5262
primari:8208,5262
primari:8290,5262
primari:9161,5263
primari:9221,5263
primari:9284,5263
primari:9411,5263
primari:378,5264
primari:1184,4518
primari:11494,4498
primari:7366,5265
primari:7430,5265
primari:660,5266
primari:759,5266
primari:10650,5267
primari:3576,5268
primari:44,5269
primari:120,5269
primari:197,5269
primari:3237,5270
primari:3314,5270
primari:6824,5271
primari:6814,2082
primari:6979,5272
primari:7020,5272
primari:9826,5273
primari:2749,5274
primari:2834,5274
primari:2919,5274
primari:3006,5274
primari:5725,5275
primari:9186,5276
primari:207,5277
primari:285,5277
primari:9530,5278
primari:2981,5279
primari:11648,5280
primari:11735,5280
primari:11245,5281
primari:1486,5282
primari:8296,5283
primari:627,5284
primari:726,5284
primari:928,5284
primari:5848,5285
primari:5906,5285
primari:10406,5286
primari:10499,5286
primari:10596,5286
primari:634,5287
primari:8601,5288
primari:8703,5288
primari:11603,5289
primari:11688,5289
primari:6219,5290
primari:6288,5290
primari:1235,5291
primari:1326,5291
primari:10291,5292
primari:10379,5292
primari:468,5293
primari:546,5293
primari:6684,5294
primari:6779,5294
primari:1648,5295
primari:1748,5295
primari:2294,5296
primari:10812,5297
primari:10906,5297
primari:8067,5298
primari:10725,5299
primari:10807,5299
primari:6639,3145
primari:6729,3145
primari:6826,3145
primari:289,5300
primari:10872,5301
primari:1234,5302
primari:3160,5303
primari:10133,5304
primari:4818,5305
primari:4928,5305
primari:7490,5306
primari:3736,5307
primari:3817,5307
primari:7026,5308
primari:5773,5309
primari:10361,5310
primari:4097,5311
primari:3569,5312
primari:11242,5313
primari:8415,748
primari:8516,748
primari:8626,748
primari:8729,748
primari:386,5314
primari:8453,5315
primari:178,5316
primari:10061,5317
primari:10173,5317
primari:1866,5318
primari:132,5319
primari:625,5320
primari:724,5320
primari:824,5320
primari:926,5320
primari:6330,5320
primari:4200,5321
primari:4242,5321
primari:4287,5321
primari:1986,5322
primari:7057,5323
primari:8401,5324
primari:9550,5325
primari:10441,5326
primari:10634,5326
primari:10065,5327
primari:9386,5328
primari:11363,5329
primari:11449,5329
primari:8057,5330
primari:8131,5330
primari:8211,5330
primari:8293,5330
primari:5826,5331
primari:8508,5332
primari:5837,5333
primari:8366,5334
primari:8467,5334
primari:8676,5334
primari:11295,5335
primari:11372,5335
primari:11458,5335
primari:7721,1549
primari:7818,1549
primari:2933,5336
primari:9707,5336
primari:9773,5336
primari:9837,5336
primari:4062,5337
primari:4131,5337
primari:1009,5338
primari:3629,5339
primari:3709,5339
primari:7077,5339
primari:7147,5339
primari:7221,5339
primari:7298,5339
primari:7672,5340
primari:1299,4048
primari:3417,5341
primari:5106,5341
primari:5166,5341
primari:5229,5341
primari:9722,5341
primari:9788,5341
primari:9852,5341
primari:6934,5342
primari:6973,5342
primari:1408,5343
primari:1503,5343
primari:7313,5344
primari:4406,119
primari:4488,119
primari:4573,119
primari:4750,119
primari:4851,119
primari:10922,5345
primari:675,5346
primari:10385,5347
primari:5054,5348
primari:909,5349
primari:1011,5349
primari:6352,5349
primari:6405,5349
primari:6463,5349
primari:6529,5349
primari:8380,5349
primari:8481,5349
primari:8692,5349
primari:5626,5350
primari:7354,5351
primari:4189,5352
primari:9878,5353
primari:11230,5354
primari:8034,5355
primari:6790,5356
primari:7990,5357
primari:10622,5358
primari:8346,5359
primari:2768,5360
primari:9911,5361
primari:10009,5361
primari:7272,822
primari:7348,822
primari:6051,5362
primari:6120,5362
primari:6190,5362
primari:6771,5363
primari:6869,5363
primari:8087,5363
primari:4348,5364
primari:6441,5365
primari:6502,5365
primari:226,5366
primari:4903,5367
primari:5005,5367
primari:1024,5368
primari:9034,5369
primari:9137,5369
primari:8482,5370
primari:9904,5371
primari:10002,5371
primari:5160,5372
primari:10757,5373
primari:6966,5374
primari:1834,5375
primari:1892,5375
primari:1953,5375
primari:11535,572
primari:5077,5376
primari:5137,5376
primari:2556,5377
primari:2644,5377
primari:9145,5378
primari:9680,5379
primari:7394,5380
primari:9646,5381
pcj:65,1
pcj:78,5382
primari:10711,5382
primari:1057,5383
primari:1144,5383
primari:4079,5384
primari:5612,5385
primari:832,5386
primari:3176,1238
primari:2831,5387
primari:2916,5387
primari:3003,5387
primari:11484,5388
primari:11901,5389
primari:11965,5389
primari:12031,5389
primari:1194,5390
primari:1282,5390
primari:8341,5391
primari:2181,5392
primari:2259,5392
primari:6401,5393
primari:4403,5394
primari:4556,5394
primari:4645,5394
primari:8352,5394
primari:9618,5395
primari:10681,5396
primari:10763,5396
primari:10851,5396
primari:7072,5397
primari:7142,5397
primari:7212,5397
primari:2642,5398
primari:2686,5398
primari:3083,5399
primari:3238,5399
primari:9736,5400
primari:9801,5400
primari:9865,5400
primari:5879,5401
primari:5943,5401
primari:2214,5402
primari:2292,5402
primari:3975,5403
primari:7120,5404
primari:570,5405
primari:9211,5406
primari:9505,5407
primari:9991,5408
primari:8762,5409
primari:8862,5409
primari:8962,5409
primari:9677,5410
primari:316,5411
primari:391,5411
primari:3448,5412
primari:3501,5412
primari:10407,5413
primari:11028,5414
primari:5948,5415
primari:8788,5089
primari:10502,5416
primari:10600,5416
primari:1080,5417
primari:6116,5418
primari:6186,5418
primari:6255,5418
primari:6206,5419
primari:6275,5419
primari:1328,5420
primari:11462,5421
primari:7630,5422
primari:7727,5422
primari:7828,5422
primari:7930,5422
primari:1085,5423
primari:1172,5423
primari:1259,5423
primari:4233,4123
primari:4277,4123
primari:9606,5424
primari:11468,5425
primari:8522,5426
primari:4188,5427
primari:4228,5427
primari:4272,5427
primari:11914,5428
primari:399,5429
primari:8699,5430
primari:3812,5431
primari:4158,5432
primari:4196,5432
primari:4237,5432
primari:4281,5432
primari:11454,5433
primari:7890,5434
primari:7994,5434
primari:6033,5435
primari:6102,5435
primari:2688,5436
primari:273,5437
primari:11041,5438
primari:9486,5439
primari:4074,5440
primari:2964,5441
primari:1853,5442
primari:1912,5442
primari:1973,5442
primari:10439,5443
primari:11594,5444
primari:6073,5445
primari:559,5446
primari:6565,5447
primari:6654,5447
primari:6745,5447
primari:6843,5447
primari:2788,5448
primari:6767,5449
primari:3110,5450
primari:9310,5049
primari:9374,5049
primari:4919,5451
primari:5021,5451
primari:11692,5452
primari:11781,5452
primari:11870,5452
primari:11051,2132
primari:11148,2132
primari:11198,2132
primari:10386,5453
primari:10476,5453
primari:11455,5454
primari:6927,5455
primari:799,5456
primari:901,5456
primari:11025,5457
primari:11073,5457
primari:11122,5457
primari:11853,5458
primari:811,5459
primari:9943,5460
primari:10041,5460
primari:10153,5460
primari:10256,5460
primari:3311,5461
primari:1088,5462
primari:8025,5463
primari:6668,5464
primari:7262,5465
primari:7338,5465
primari:6603,5466
primari:11056,5466
primari:11104,5466
primari:11154,5466
primari:8360,5467
primari:8461,5467
primari:8565,5467
primari:8667,5467
primari:1094,5468
primari:4328,5469
primari:9756,5470
primari:9120,5471
primari:4212,5472
primari:4255,5472
primari:4300,5472
primari:9978,5473
primari:10877,5474
primari:10973,5474
primari:36,125
primari:112,125
primari:189,125
primari:267,125
primari:11667,2262
primari:11755,2262
primari:4128,5475
primari:10671,5476
primari:6497,5477
primari:3373,5478
primari:3426,5478
primari:11322,5479
primari:11577,5480
primari:11662,5480
primari:9647,5481
primari:8675,5482
primari:5040,5483
primari:2057,5484
primari:2206,5484
primari:2284,5484
primari:2096,5485
primari:4112,5486
primari:6550,5487
primari:2837,5488
primari:2922,5488
primari:3009,5488
primari:484,5489
primari:562,5489
primari:2310,5490
primari:2362,5490
primari:2415,5490
primari:2473,5490
primari:2026,5491
primari:2175,5491
primari:2253,5491
primari:1966,5492
primari:343,5493
primari:418,5493
